ID,Name,Start time,Duration,Place,Address,Tickets link,Description 1,Hashtags,Prices lower,Prices upper,End time
1,WELLBOY x VIBE NATION,2024-05-25 18:00:00,300,OTAMAN BEACH CLUB,"Львів, Кільцева дорога",https://widget.kontramarka.ua/uk/widget511site13165/widget/event/108061?utm_referrer=lviv.kontramarka.ua/uk/wellboy-x-vibe-nation-92949.html&siteShowId=92949&siteEventId=204393,WELLBOY x VIBE NATION,,450,2000,2024-05-25 23:00:00
2,PARFENIUK | LOLLIPOP PROJECT,2024-06-01 17:00:00,119,OTAMAN BEACH CLUB,"Львів, Кільцева дорога",https://widget.kontramarka.ua/uk/widget511site11278/widget/event/109161?utm_referrer=lviv.kontramarka.ua/uk/parfeniuk-83488.html&siteShowId=83488&siteEventId=205389,1 червня 2024 року в OTAMAN BEACH CLUB відбудеться концерт Parfeniuk у Львові.,,450,450,2024-06-01 18:59:00
3,LELY45 x VIBE NATION,2024-06-08 17:00:00,360,OTAMAN BEACH CLUB,"Львів, Кільцева дорога",https://widget.kontramarka.ua/uk/widget511site13165/widget/event/110287?utm_referrer=lviv.kontramarka.ua/uk/lely45-x-vibe-nation-93683.html&siteShowId=93683&siteEventId=206556,8 червня 2024 року в OTAMAN Beach club відбудеться концерт Lely45 у Львові.,,350,350,2024-06-08 23:00:00
4,ІВАСЮК НАЗАВЖДИ,2024-05-27 19:00:00,120,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget512site1001/widget/event/100163602?utm_referrer=lviv.kontramarka.ua/uk/%D1%96vasyuk-nazavzhdi-91754.html&siteShowId=91754&siteEventId=201105,До 75-річчя Володимира Івасюка: у травні концерти “Івасюк назавжди” відбудуться у Львові і Тернополі,,360,990,2024-05-27 21:00:00
5,Ніно Катамадзе,2024-05-28 19:00:00,119,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget511site11278/widget/event/87927?utm_referrer=lviv.kontramarka.ua/uk/nino-katamadze-85077.html&siteShowId=85077&siteEventId=181578,17 жовтня 2023 року у Львівській національній опері відбудеться концерт Ніно Катамадзе.,,500,2700,2024-05-28 20:59:00
6,Юлія Саніна | The HARDKISS — Special Kiss,2024-06-17 19:00:00,80,Львівська національна опера,"м. Львів, пр-т Свободи, 28",,17-18 червня 2024 року у Львівській національній опері відбудеться концерт Юлії Саніної.,,790,2490,2024-06-17 20:20:00
7,Юлія Саніна | The HARDKISS — Special Kiss,2024-06-18 19:00:00,80,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget512site1008/widget/event/100164574?utm_referrer=lviv.kontramarka.ua/uk/ulia-sanina--the-hardkiss-special-kiss-92810.html&siteShowId=92810&siteEventId=204848,17-18 червня 2024 року у Львівській національній опері відбудеться концерт Юлії Саніної.,,790,2490,2024-06-18 20:20:00
8,Один в Каное,2024-07-01 18:30:00,120,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget511site1001/widget/event/100164997?utm_referrer=lviv.kontramarka.ua/uk/odin-v-kanoe-93713.html&siteShowId=93713&siteEventId=206616,"«Добрих новин чекати — невдячна справа». Але вже незабаром ви матимете нагоду почути музику Один в каное у своєму рідному місті. «Бути собою»: радіти та сумувати, плакати та сміятись — все це ви зможете робити на нашому концерті.Почути живе виконання «Один в полі воїн», «Човен», «У мене немає дому» та інших пісень, які допомагають усім нам впоратись з емоційними викликами нашого воєнного сьогодення. Також, разом з Один в каное, ви зможете доєднатись до збору на катери для Головного управління розвідки Міністерства оборони України.Разом до перемоги!Побачимось!",,390,1290,2024-07-01 20:30:00
9,концерт «Володар Перснів» у виконанні Lumos Orchestra,2024-07-09 19:00:00,119,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget511site11278/widget/event/102122?utm_referrer=lviv.kontramarka.ua/uk/koncert-volodar-persniv-u-vikonanni-lumos-orchestra-90589.html&siteShowId=90589&siteEventId=197871,"Прем'єра нового великого тричастинного симфонічного шоу! Найвеличніше фентезі людства – ""Володар Перснів"" Дж.Р.Р. Толкіна – на сцені Оперного театру 9 липня о 19:00!",,590,1590,2024-07-09 20:59:00
10,Музика світів ХАЯО МІЯДЗАКІ від LUMOS Orchestra,2024-08-26 19:00:00,119,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget511site11278/widget/event/109865?utm_referrer=lviv.kontramarka.ua/uk/muzika-svitiv-haao-miadzaki-vid-lumos-orchestra-91050.html&siteShowId=91050&siteEventId=206371,"Один з найвидатніших у світі анімаційних режисерів. Автор казок, що однаково цікаві і малим, і дорослим. Володар премії ""Оскар"" та численних інших світових премій.",#Оркестр ,590,1590,2024-08-26 20:59:00
