,Name,Address,Coordinates,street_number,Street,Area,City,Region,Country,Website,Phone,Type,Google_ID,Glovo_link,Monday Open time,Monday Close time,Tuesday Open time,Tuesday Close time,Wednesday Open time,Wednesday Close time,Thursday Open time,Thursday Close time,Friday Open time,Friday Close time,Saturday Open time,Saturday Close time,Sunday Open time,Sunday Close time,Average price,Overall price level
0,NOA Asia Special,"вулиця Староєврейська, 4, Львів","{'lat': 49.8402369, 'lng': 24.0311538}",4,вулиця Староєврейська,Галицький,Львів,Львівська,Україна,http://noa.ua/,+380 67 884 4617,Інше,ChIJLfr7Kg7dOkcRYtJfEeiwWs8,https://glovoapp.com/ua/uk/lviv/noa-asia-special-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,232.0,High
1,Royal Kebab / Роял Кебаб,"вулиця Пекарська, 20, Львів","{'lat': 49.8377506, 'lng': 24.03815569999999}",20,вулиця Пекарська,Личаківський,Львів,Львівська,Україна,https://instagram.com/royal_kebab_ua?igshid=MmVlMjlkMTBhMg==,+380 63 721 9538,Ресторан,ChIJG2oz-nndOkcRRVaIhVQjL5g,https://glovoapp.com/ua/uk/lviv/royal-kebab-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,190.0,Medium-High
2,Doner Market,"вулиця Івана Виговського, 53/69, Львів","{'lat': 49.81374719999999, 'lng': 23.9767716}",53/69,вулиця Івана Виговського,Залізничний,Львів,Львівська,Україна,http://donermarket.com.ua/,+380 98 242 0990,,ChIJ6ftqtPvnOkcRKh0vR6GBfKY,https://glovoapp.com/ua/uk/lviv/doner-market-lvi/,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,10:00:00,23:00:00,163.0,Medium-Low
3,"Сімейна Піца, Пекарня / Family Pizza, Bakery","вулиця Левицького, 41, Львів","{'lat': 49.8340058, 'lng': 24.0411163}",41,вулиця Левицького,Личаківський,Львів,Львівська,Україна,https://linktr.ee/simeynapekarnia,+380 68 292 9603,Пекарня,ChIJwas9JUvdOkcR739viheB2s4,https://glovoapp.com/ua/uk/lviv/family-bakery-lvi/,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,05:00:00,00:00:00,48.0,Low
5,Poke LULU,"вулиця Кульпарківська, 226 А, Львів","{'lat': 49.8077403, 'lng': 23.9783733}",226 А,вулиця Кульпарківська,Залізничний,Львів,Львівська,Україна,https://www.pokelulu.com.ua/,+380 67 699 6562,Ресторан,ChIJnXrSZV7nOkcRhRCFq77vAjo,https://glovoapp.com/ua/uk/lviv/poke-lulu-lvi/,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,197.0,Medium-High
6,Shaurma Lviv / Шаурма Львів,"Галицька площа, 7, Львів","{'lat': 49.839241, 'lng': 24.0327569}",7,Галицька площа,Галицький,Львів,Львівська,Україна,,+380 67 819 2181,Ресторан,ChIJe32LwjzdOkcRYz8HSOaUdb8,https://glovoapp.com/ua/uk/lviv/shaurmalviv-lvi/,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,10:00:00,00:00:00,10:00:00,00:00:00,10:00:00,00:00:00,70.0,Low
7,Ratatuy / Рататуй,"вулиця Перфецького, 14, Львів","{'lat': 49.8148497, 'lng': 23.9875668}",14,вулиця Перфецького,Франківський,Львів,Львівська,Україна,https://www.ratatouille.com.ua/,+380 67 979 3434,Доставка,ChIJNeVirAnnOkcRL4spJ4d2T8w,https://glovoapp.com/ua/uk/lviv/ratatuj-lvi/,12:00:00,22:30:00,12:00:00,22:30:00,12:00:00,22:30:00,12:00:00,22:30:00,12:00:00,22:30:00,12:00:00,22:30:00,12:00:00,22:30:00,267.0,High
8,Fermali tantuni kebab / Фермалі тантуні кебаб,"проспект В'ячеслава Чорновола, 16D, Львів","{'lat': 49.8558648, 'lng': 24.0248193}",16D,проспект В'ячеслава Чорновола,Шевченківський,Львів,Львівська,Україна,http://www.instagram.com/fermalitantuni/,+380 95 532 9899,Ресторан,ChIJ05-kDODdOkcRCgSPsFPJQWM,https://glovoapp.com/ua/uk/lviv/fermali-tantuni-lvi/,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,09:00:00,23:00:00,11:00:00,23:00:00,146.0,Medium-Low
9,Gazda Cafe,"вхід з, м.Львів, Проспект Свободи, вулиця Тиктора, 31, L'viv","{'lat': 49.8424735, 'lng': 24.0262123}",31,вулиця Тиктора,Галицький,L'viv,L'vivs'ka,Україна,http://gazda.gazdagroup.com.ua/,+380 67 374 7722,Ресторан,ChIJbf98QXLdOkcRaF50j6pHuNU,https://glovoapp.com/ua/uk/lviv/gazda-lvi/,09:00:00,00:00:00,09:00:00,00:00:00,09:00:00,00:00:00,09:00:00,00:00:00,09:00:00,00:00:00,09:00:00,00:00:00,09:00:00,00:00:00,200.0,Medium-High
10,Food On Fire - Їжа на Вогні,"вулиця Івана Виговського, 102, Львів","{'lat': 49.8129943, 'lng': 23.9780598}",102,вулиця Івана Виговського,Залізничний,Львів,Львівська,Україна,http://familyfood247.com/,+380 68 526 5272,Ресторан,ChIJrQV4SQvnOkcRWXkI-zjq5kU,https://glovoapp.com/ua/uk/lviv/food-on-fire-lvi/,00:00:00,23:59:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,19:00:00,102.0,Low
